"Submission","Specific Implementation","Problem Category","KeyPair Median","Keypair Average x10^6","Encrypt Median","Encrypt Average x10^6","Open Median","Open Average","sk","pk","bytes","NIST Category Claim","Errors?","Trials"
"KINDI","KINDI-256-3-4-2","Lattices","226,458.000","0.231","271,874.000","0.280","347,290.000","351,764.000","1,472","1,184","1,792","2","Times","300"
"KINDI","KINDI-256-5-2-2","Lattices","611,102.000","0.796","739,100.000","0.803","867,486.000","1,112,417.000","2,304","1,984","2,688","5","Times","300"
"KINDI","KINDI-512-2-2-2","Lattices","255,975.000","0.363","334,286.000","0.370","456,263.000","554,308.000","1,712","1,456","2,496","4","Times","300"
"KINDI","KINDI-512-2-4-1","Lattices","257,579.000","0.372","335,642.000","0.379","455,082.000","506,252.000","2,112","1,728","2,688","4","Times","300"
"KINDI","KINDI-512-3-2-1","Lattices","521,893.000","0.573","640,175.000","0.705","834,062.000","918,578.000","2,752","2,368","3,328","5","Times","300"
"LAC","LAC128","Lattices","85,323.000","0.182","145,654.000","0.156","76,838.000","82,216.000","1,056","544","1024","1","Times","300"
"LAC","LAC192","Lattices","251,369.000","0.200","372,447.000","0.293","224,009.000","344,484.000","2,080","1,056","1536","3","Times","100"
"LAC","LAC256","Lattices","","0.000","","0.000","","","2080","1056","2048","5","FAIL",""
"LEDApkc","128SL_N02","Codes","117,903,206.000","129.344","8,130,562.000","8.598","47,765,330.000","50,484,279.000","24","3,480","6,960","1","Times","99"
"LEDApkc","128SL_N03","Codes","55,293,878.000","60.872","7,993,802.000","8.269","57,812,566.000","61,401,087.000","24","4,688","7,032","1","Times","99"
"LEDApkc","128SL_N04","Codes","47,240,456.000","48.452","10,029,884.000","10.482","67,971,528.000","69,485,795.000","24","6,408","8,544","1","Times","99"
"LEDApkc","192SL_N02","Codes","496,355,696.000","502.395","31,167,540.000","31.957","137,018,618.000","136,053,636.000","32","7,200","14,400","3","Times","99"
"LEDApkc","192SL_N03","Codes","259,853,286.000","263.378","33,882,048.000","34.482","138,482,852.000","140,245,281.000","32","10,384","15,576","3","Times","99"
"LEDApkc","192SL_N04","Codes","192,188,880.000","215.604","37,399,950.000","42.122","135,679,936.000","151,476,731.000","32","13,152","17,536","3","Times","99"
"LEDApkc","256SL_N02","Codes","1,580,132,610.000","1,599.126","89,801,264.000","92.840","255,660,518.000","264,937,652.000","40","12,384","24,768","5","Times","99"
"LEDApkc","256SL_N03","Codes","797,437,944.000","802.605","97,466,532.000","99.519","260,680,868.000","262,949,682.000","40","18,016","27,024","5","Times","99"
"LEDApkc","256SL_N04","Codes","557,109,414.000","560.609","104,558,784.000","107.089","363,209,714.000","366,509,289.000","40","22,704","30,272","5","Times","99"
"LIMA","CCA.LIMA-sp1018","Lattices","1,215,808.000","1.507","1,054,698.000","1.423","1,394,053.000","1,603,442.000","9,163","6,109","6,105","1","Times","300"
"LIMA","CCA.LIMA-2p1024","Lattices","616,843.000","0.677","467,220.000","0.595","583,394.000","753,958.000","9,217","6,145","6,147","3","Times","300"
"LIMA","CCA.LIMA-sp1306","Lattices","2,257,394.000","2.708","1,998,850.000","2.231","2,618,401.000","2,771,620.000","15,673","10,449","10,443","2","Times","300"
"LIMA","CCA.LIMA-sp1822","Lattices","2,491,497.000","2.793","2,129,415.000","2.342","2,790,618.000","3,032,564.000","21,865","14,577","14,555","3","Times","300"
"LIMA","CCA.LIMA-2p2048","Lattices","1,150,361.000","1.308","865,808.000","0.909","1,080,107.000","1,126,357.000","18,433","12,289","12,291","5","Times","300"
"LIMA","CCA.LIMA-sp2062","Lattices","4,418,499.000","5.001","4,043,517.000","4.294","5,319,700.000","5,779,881.000","24,745","16,497","16,475","5","Times","300"
"LIMA","CPA.LIMA-sp1018","Lattices","1,238,239.000","1.490","1,073,477.000","1.489","335,274.000","456,097.000","9,163","6,109","6,105","1","Times","300"
"LIMA","CPA.LIMA-2p1024","Lattices","591,246.000","0.852","444,452.000","0.662","136,396.000","240,756.000","9,217","6,145","6,147","3","Times","300"
"LIMA","CPA.LIMA-sp1306","Lattices","2,362,411.000","3.350","2,122,033.000","3.039","675,030.000","1,051,533.000","15,673","10,449","10,443","2","Times","300"
"LIMA","CPA.LIMA-sp1822","Lattices","2,601,834.000","4.362","2,287,221.000","3.234","714,053.000","1,366,226.000","21,865","14,577","14,555","3","Times","300"
"LIMA","CPA.LIMA-2p2048","Lattices","1,211,895.000","2.012","927,632.000","1.331","268,768.000","389,824.000","18,433","12,289","12,291","5","Times","300"
"LIMA","CPA.LIMA-sp2062","Lattices","4,641,992.000","6.712","4,255,617.000","5.529","1,361,708.000","1,675,999.000","24,745","16,497","16,475","5","Times","300"
"Lizard","CCA_CATEGORY1_N536","Lattices","100,657,219.000","105.701","295,330.000","0.326","130,578.000","144,127.000","621,576","1,622,016","1,648","1","Times","100"
"Lizard","CCA_CATEGORY1_N663","Lattices","112,140,559.000","119.956","305,384.000","0.319","133,545.000","146,639.000","624,241","1,882,112","983","1","Times","100"
"Lizard","CCA_CATEGORY3_N816","Lattices","170,393,094.000","180.073","336,552.000","0.376","237,987.000","265,405.000","712,107","2,457,600","2,496","3","Times","100"
"Lizard","CCA_CATEGORY3_N952","Lattices","217,798,928.000","273.990","376,235.000","0.533","278,701.000","867,432.000","909,391","2,736,128","2,768","3","Times","100"
"Lizard","CCA_CATEGORY5_N1088","Lattices","","0.000","","0.000","","","","","","5","Segmentation fault (core dumped)",""
"Lizard","CCA_CATEGORY5_N1300","Lattices","","0.000","","0.000","","","","","","5","Segmentation fault (core dumped)",""
"Lizard","RING_CATEGORY1","Lattices","288,154.000","0.915","67,159.000","0.347","89,289.000","96,689.000","414,428","4,096","2,208","1","Times","100"
