Submission,Specific Implementation,Category,KeyPair Median x10^3,Keypair Average x10^3,Sign Median x10^3,Sign Average x10^3,Open Median,Open Average,sk,pk,bytes,NIST Category Claim,Trials
CRYSTALS-Dilithium,Dilithium_medium,Lattices,227.254,244.278,910.911,"1,185.462","291,116","307,111","2,800","1,184","2,044",1,100
CRYSTALS-Dilithium,Dilithium_recommended,Lattices,398.131,606.338,"1,911.458","2,753.772","465,591","558,281","3,504","1,472","2,701",2,100
CRYSTALS-Dilithium,Dilithium_very_high,Lattices,498.068,651.6,"1,587.041","2,293.141","567,109","611,325","3,856","1,760","3,366",3,100
DualModeMS,DualModeMS128,Multivariate,"2,388,709,250.041","2,435,532,588.733","12,307,304.223","12,468,307.435","11,593,129","10,893,369","18,038,184",528,"32,640",1,3
DRS,DRS128,Lattices,"962,089.351","1,001,828.786","58,737.205","62,867.536","477,191,758","505,869,989","51,274","5,094,433","8,550",1,100
DRS,DRS192,Lattices,"1,896,716.715","1,910,198.595","86,794.474","95,622.249","796,874,795","814,640,083","84,060","8,410,001","11,020",3,100
DRS,DRS256,Lattices,"3,172,545.173","3,208,544.675","140,374.162","148,424.947","1,413,362,372","1,419,704,155","144,527","14,402,026","14,421",5,100
Falcon,falcon1024,Lattices,"249,896.264","300,030.872","16,237.741","19,884.364","1,215,931","1,384,574","8,193","1,793","1,330",5,100
Falcon,falcon512,Lattices,"82,196.675","91,009.209","7,359.190","8,359.971","639,568","666,108","4,097",897,690,1,100
Falcon,falcon768,Lattices,"151,553.770","157,623.028","12,729.703","13,058.641","1,037,696","1,117,624","6,145","1,441","1,077",3,100
GeMSS,GeMSS128,Multivariate,"111,011.159","114,893.999","1,580,939.707","1,660,770.752","1,186,889","1,254,877","14,208","417,408",48,1,50
GeMSS,GeMSS192,Multivariate,"563,794.772","567,250.472","4,390,176.308","4,620,657.460","856,573","950,111","39,440","1,304,192",88,3,50
GeMSS,GeMSS256,Multivariate,"1,216,128.633","1,245,472.262","5,124,161.820","5,522,622.728","1,932,081","2,202,925","82,056","3,603,792",104,5,50
Gravity-SPHINCS,Gravity-SPHINCS,Hash,"73,803,301.144","73,862,973.254","436,308.098","446,574.968","2,563,763","2,710,406","65,568",32,"15,728",2,10
Gui,Gui-184,Multivariate,"4,046,082.137","4,242,998.555","2,535,987.452","3,936,040.765","234,163","252,517","14,985","422,122",45,1,50
Gui,Gui-312,Multivariate,"46,031,660.528","46,031,660.528","143,796,442.308","143,796,442.308","724,044","724,044","41,755","1,990,045",63,3,1
Gui,Gui-448,Multivariate,"270,756,279.964","270,756,279.964","2,540,747,361.231","2,540,747,361.231","2,004,155","2,004,155","94,757","5,903,405",83,5,1
HiMQ-3,HiMQ-3,Multivariate,"155,935.988","157,899.562",113.12,321.443,"268,050","614,735","11,489","125,400",75,1,100
HiMQ-3,HiMQ-3F,Multivariate,"227,835.453","232,452.977",140.062,162.823,"225,759","527,330","16,464","97,954",67,1,100
LUOV,luov-48-49-242,Multivariate,"26,815.581","27,419.223","86,903.961","88,046.948","49,200,638","50,301,626",32,"7,536","1,746",2,100
LUOV,luov-64-68-330,Multivariate,"90,322.031","90,548.276","258,001.992","259,662.473","124,493,595","125,317,813",32,"19,973","3,184",4,100
LUOV,luov-80-86-399,Multivariate,"177,088.232","192,475.607","551,022.717","595,199.427","249,640,573","273,408,571",32,"40,248","4,850",5,100
LUOV,luov-8-117-404,Multivariate,"276,255.962","276,912.036","140,030.441","144,203.736","83,789,984","84,564,465",32,"100,989",521,5,100
LUOV,luov-8-63-256,Multivariate,"38,362.879","39,421.493","25,821.869","26,714.796","14,687,149","15,123,202",32,"15,908",319,2,100
LUOV,luov-8-90-351,Multivariate,"154,738.473","154,498.995","81,503.591","81,889.845","48,735,087","49,173,941",32,"46,101",441,4,100
MQDSS,mqdss-48,Multivariate,"2,579.234","2,957.276","252,403.091","266,840.340","185,066,255","191,666,288",32,62,"32,882",2,100
MQDSS,mqdss-64,Multivariate,"5,806.462","6,680.606","742,204.726","776,183.461","554,688,427","571,665,382",48,88,"67,800",4,100
